person_id,when_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:39581067,Do not remember,0.3,3,-2.886620573940691
US:40459711,In my thirties,0.36,5,-2.315315985005543
US:154924295,I was nearing 18 and getting ready to vote for the first time in my life.,0.53,18,-1.183962465534513
US:126537219,AS A YOUNGER PERSON IN MY THIRTIES,0.32,11,-2.6710583098103604
US:28445093,"I probably started moving closer to the Democrats after ""W"" declared ""Mission Accomplished"" and even moreso after the 2008 election based on Mitch McConnell's attitude towards and treatment of President Obama (by declaring he'll sure Obama is a one term president and refusing to hold a confirmation hearing for Merritt Garland for Scallia's seat on SCOTUS). But most definitely since the Republicans turned MAGA (the Tea Partiers were bad enough) and collectively lost their minds, spines, and seemingly all of their principles in their zeal to court favor with the Orange Jesus (or is it Orange Pope now?).",0.35,126,-7.695936625354934
US:145923247,When I was a teenager,0.84,5,0.55339031161624
US:183813775,After Richard Nixon and Watergate.,0.23,7,-4.4222126812816285
US:364889,"When I changed my voter registration from Republican to Independent, I never considered myself a Dem.",0.47,18,-1.5554632130575956
US:4679109,Idk,0.23,2,-4.166234554349375
US:182482923,High school,0.56,2,-1.0506428243407415
US:46363594,"When Obama proved he was a neoliberal thrall of the parasitic financiers and military-industrial complex, continuing essentially all of the policies of the neocon Bush II administration including war crimes.",0.23,38,-4.1812660623595495
US:143342913,In law school. 1996 on.,0.23,9,-4.438750055994008
US:133260055,as a child growing up,0.45,5,-1.6662527799285598
US:25459987,1980 when Ronald Reagan was running for president,0.36,9,-2.3212471754237374
US:40508950,When I registered to vote.,0.29,6,-3.1063371130387067
US:31654889,Age 5 or 6,0.52,6,-1.2829341672383259
US:44942032,When the Republican party became much more conservative,0.46,8,-1.5973339468559717
US:4536199,Why would I think of myself as a MAGA idiot,0.33,11,-2.597300745466905
US:155549479,Many years ago when I better understood what the Republican Party stood for and how it was not in my best interest to support the opposite party.,0.38,28,-2.139855770780667
US:3256075,at 18,0.26,3,-3.466550620829022
US:138133999,25+ years ago,0.42,4,-1.8707959226855608
US:155596553,"My entire life, basically.",0.28,6,-3.2323440663851524
US:673837,from the begining of my ability to vote,0.24,9,-3.9614769425172356
US:46348797,2012,0.31,2,-2.823227501159223
US:134747635,When I could first decipher the coded racism Republicans were spewing on the regular. Trickle down economics is a scam and elementary school kids can see through it.,0.22,32,-4.730176133563673
US:3779180,I came back to the Republican party when Reagan was elected in the early 80s.,0.41,18,-1.9725307050481338
US:2702713,Years ago,0.33,2,-2.6262582620540904
US:2150877,In College,0.23,2,-4.252624886146266
US:126143329,not sure,0.24,2,-4.0409995562355
US:139725973,In my 20's,0.57,5,-1.0026276468624107
US:143006723,"Locally, I realized I was a Democrat when I was born with the ability to care about other people. I did not blame my neighbors for the plight I was in. Nationally, I realized I was a Democrat when I saw corporate entities getting more freedom from the law and tax cuts than ordinary people. Globally, I realized I was a Democrat when I decided we should not ally with war criminals running dictatorships.",0.29,85,-3.104839874786449
US:120056,1954,0.24,2,-3.9458530693411
US:39929872,"25 years ago, before that Independent.",0.22,8,-5.001946458099698
US:129041943,Ever since I was able to vote,0.39,7,-2.1248938380415954
US:140303151,"As long as I can remember, I've been a Democrat.",0.75,13,-0.008876197833335037
US:182287607,Is this the wording / punctuation you wanted? $wording_democratic_nor_republican Party? since 2000,0.29,25,-7.0759615269575
US:120580703,I have a scientific based thought process.,0.52,8,-1.2762072290367439
US:43659999,In the 1980's,0.77,6,0.09742616453343822
US:26933767,Mid to late 20s,0.41,6,-1.9655649819390761
US:2280799,1972,0.24,2,-3.9290269118074503
US:3189249,when i first voted and read articals,0.24,8,-6.135995585929992
US:183059505,"Always,from the day I could vote to now",0.22,10,-4.576655096801139
US:142014043,In high school,0.54,3,-1.1714445006639997
US:128271913,My whole life,0.57,3,-0.9646398752253083
US:36826090,About seven years ago,0.3,4,-2.93101026535339
US:42414487,Probably in 2008 as a kid when Obama was running.,0.27,13,-3.4160807108598226
US:975384,1984,0.29,2,-3.0667429557189836
