person_id,when_decided_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:186901207,at a young age when worker's issues were explained to me,0.22,12,-4.890923697350279
US:204683049,Many years ago,0.55,3,-1.062648111286573
US:112940837,as far as I remember,0.33,5,-2.6257744216081123
US:104629999,when i was old enough to vote.,0.33,8,-2.6221476879670944
US:28088203,about 10 ago years when I realized the parties are both blouted and issues started to become unrecognizable to me,0.26,24,-6.636560600352079
US:4404089,when Trump first ran,0.23,4,-4.433743934944544
US:116840473,When I was 21,0.79,5,0.24797576350405637
US:119972761,After the first election of Trump,0.68,6,-0.389634663513256
US:45673939,When I turned 21 & registered to vote.,0.25,10,-3.629417729873464
US:30010531,1976,0.23,2,-4.140705501712556
US:672072,In 1960,0.71,4,-0.2369342397035407
US:139480335,Back when Jimmy Carter ran for president,0.34,7,-2.4858793602308737
US:121271479,im not sure,0.32,3,-2.718279110347643
US:4399493,The past election when they wanted Biden out.,0.22,9,-5.0587708281198225
US:121399723,"I decided that for sure, during the Biden admin because of all the lies!",0.23,16,-6.049593875016342
US:25417167,When I was 18,0.86,5,0.6650241478731009
US:3662187,"I was a Democrat for 36 years, and then they started going so far left and crazy that I switched to Indpendent. Now they have become completely anti American",0.41,34,-1.9470913042792366
US:42684931,BACK IN THE 80S,0.51,6,-1.3281404066211115
US:39471690,Around the age of 16 (~2014).,0.26,10,-3.4994038672298724
US:2757816,In my 20's.,0.38,6,-2.1337184974981986
US:1125472,1991,0.24,2,-3.9798568098007037
US:3700569,At 21,0.49,3,-1.4568641222971328
US:46324796,I like them better than Democrats,0.36,6,-2.2943415292434883
US:40582209,after oboma wasa elected,0.29,6,-7.128041330998101
US:33196069,30 yrs ago,0.24,3,-3.9415123009527306
US:39483585,Back in the 60s,0.69,6,-0.33088982904824876
US:177775741,When Johnson made civil rights legislation,0.22,6,-5.7022615157411884
US:357377,I was an independent until 2008 and that year registered Republican and have stayed that party.,0.23,19,-4.322191818286352
US:3997343,"I grew up in a family that was predominantly Democratic. From earliest years, I listened to arguments around a dinner table often which generally reflected the ideas of the Democratic Party.",0.39,34,-2.1236096936410203
US:4203069,1968,0.24,2,-3.9177846743557936
US:365810,1968,0.24,2,-3.9177846743557936
US:168924813,18 years old,0.37,3,-2.2584985159569984
US:165860111,In my 20’s,0.65,5,-0.5563334215952548
US:31807463,Many years ago,0.55,3,-1.062648111286573
US:3969042,"Bill Clinton’s first term. I always voted Republican before that, my stepfather who lived the Depression talked me into voting Democrat for the first time. He was afraid of a conservative SUPREME COURT",0.22,40,-5.020661289487729
US:139628455,2015,0.34,2,-2.4943954741318355
US:46344448,"This has happened in three specific, escalating notches. First, in 2015, before the first time Trump was elected. Second, I significantly increased my dislike of both parties after January 6. Finally, my worst nightmares came true after Trump took office in 2025. when the Republicans became moral invertebrates (or showed their true essence), and the Democrats flailed and failed, misunderstanding working class Americans entirely. And",0.27,87,-6.7480827690668255
US:3611596,1976,0.23,2,-4.140705501712556
US:1856759,I don’t remember,0.63,4,-0.6568900427420703
US:189946429,When I realized I’m more “old fashioned”,0.29,10,-3.0986884647591473
US:41009574,After Obama became president,0.29,4,-3.019081222017782
US:138735801,Can't remember,0.31,3,-2.809432024674061
US:24056301,When I became a naturalized citizen in my twenties,0.53,10,-1.1990846531208277
