person_id,when_decided_pid
US:135222359,Not to fond of most politicians
US:160486719,I own my business so I want to make as much money as possible.
US:116486495,A long time ago.
US:185161887,When I was young I decided that I wanted to be a Democrat
US:185230669,The first time I became a Democrat was in the '80's when Reaganomics put the US in a recession.
US:36693578,When I first registered to vote when I was 18. All of my family were Republicans and there were only 1-2 families in our neighborhood that were not.
US:100936619,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!"
US:173782745,Neither party gets it 100%. There are policies on the left that appeal to me and policies on the right that appeal. It’s the people who the parties pick.
US:696892,I was probably about 17 when I decided that I thought more like a Republican.
US:4365895,The first year I was able to vote
US:152207433,18 years old
US:159896935,From my early 20s and on. I vote based on what the individual politician has done and what they have accomplished that is in line with my views.
US:1372239,1985
US:1963517,early 2000s
US:186501179,2015
US:151577065,many years ago
US:42501285,1980s
US:29681999,When I was very young. I hated GW Bush
US:159061105,During the Jimmy Carter president I voted for him it was a mistake
US:43575707,In high school
US:181421481,Probably all the back when I first voted.
US:2380616,You have a BUG!!!! When did you first decide you are closer to neither the $wording_democratic_nor_republican Party? Sometime between 30 and 20 years ago.
US:180937753,The beginning
US:24481308,1965
US:2122985,Idk. When I turned 18 and started voting
US:183755089,When I really started to think about what I truly believed and thought about people and our differences and our economic classes and our freedoms and our right to choose according to the constitution
US:201045921,"Before I was old enough to vote my high school held primaries for student government. I always read the ""League of Women's Voters"" pamphlet and understood the difference between the parties. Democrats stood for the people."
US:2622366,4 years ago.
US:1241082,Several years ago
US:32394,When I was in junior high school
US:905869,After serving in the Military
US:24863746,10 years ago
US:4716731,When I was 8 years old.
US:3237511,When I could vote
US:27223709,"Only after I saw the repubs were all crooks, before Nixon showed the world."
US:181293401,When my brain stated working. Democrats are just weird Don't even know what a women is. Wow
US:2995614,when I was a young man
US:148353873,I've always been a Democrat
US:103016201,Around high school
US:126871313,Started back with the Bush family.
US:3242443,My father said so when I was a child.
US:124105989,At the age of 18 years old.
US:177186889,When I saw how corrupt all the democrats became.
US:137048209,This year. I’ve always thought I was more moderate/independent but the chaos of the last 3 months has made me feel more aligned with the Democratic Party.
US:105239735,I don't want be affiliated with either party because neither party stands for me. I can't vote republican right now because MAGA has taken the party over and I will not support that.
US:46848234,1972
US:135027307,The 1980’s
US:488743,When I was 18
US:4388272,When I was a teenager
US:190765197,Birth
US:4471257,I first decided I am a Democrat while I was in high school in the early 1970s during the first term of President Nixon.
US:40599962,when i was a 18 teen
US:45922761,I have always been a democrat.
US:162689029,Not sure
US:30241615,Around 1972
US:28405232,When I was a teenager
US:40641660,1966
US:894803,I have always trusted my ability to learn the issues and decide on my own. I find the political parties rather useless.
US:37949400,1960s
US:28770027,That was what I was taught when I started voting
US:38006829,When the delegates bood God 3 times in one of their conventions
US:181508103,After obama
US:140270819,"As the Democratic Party increasingly aligned itself with certain groups and communities that espoused unconventional ideologies and held idealistic, albeit sometimes unrealistic, views."
US:171259979,When trump got into the scene is when politics became very nasty resulting in a shift in my support structure.
US:41922230,During Trump’s first presidency
US:4670987,High School
US:192214629,when George W. Bush was president
US:181266429,before and after this election
US:46821834,In the late '90's.
US:189706043,No sure
US:162855051,Upon arrival in USA 1989
US:2794598,Teen years
US:102522905,I have always voted my conscience regardless of political affiliation
